"Story","Title","Result","Date","Stability","Duration (s)"
"Body type test","To search the car based on the body type","SUCCESS","2021-02-03T13:18:24.633+05:30[Asia/Calcutta]","0.0","149.86"
"Find all new upcoming cars test","Find a new car test","SUCCESS","2021-02-03T13:19:12.367+05:30[Asia/Calcutta]","0.0","12.05"
"Find car evaluation test","Find used car evaluation parameterized test","SUCCESS","2021-02-03T13:19:57.639+05:30[Asia/Calcutta]","0.0","116.82"
"Find new carby brand test","To check the find new car of brand Tata Using the find new car feature","SUCCESS","2021-02-03T13:19:59.503+05:30[Asia/Calcutta]","0.0","13.55"
"Find new carby brand test","To check the find new car of brand Kia Using the find new car feature","SUCCESS","2021-02-03T13:20:13.904+05:30[Asia/Calcutta]","0.0","12.53"
"Find new carby brand test","To check the find new car of brand Hyundai Using the find new car feature","SUCCESS","2021-02-03T13:20:27.308+05:30[Asia/Calcutta]","0.0","13.12"
"Find new carby brand test","To check the find new car of brand Mercedes-Benz Using the find new car feature","SUCCESS","2021-02-03T13:20:41.27+05:30[Asia/Calcutta]","0.0","14.95"
"Find new car test","Find a new car test","SUCCESS","2021-02-03T13:20:57.168+05:30[Asia/Calcutta]","0.0","13.73"
"Fuel type test","To check the car of fuel type as Petrol","SUCCESS","2021-02-03T13:21:11.781+05:30[Asia/Calcutta]","0.0","18.45"
"Fuel type test","To check the car of fuel type as Diesel","SUCCESS","2021-02-03T13:21:31.11+05:30[Asia/Calcutta]","0.0","16.22"
"Fuel type test","To check the car of fuel type as CNG","SUCCESS","2021-02-03T13:21:48.174+05:30[Asia/Calcutta]","0.0","16.2"
"New car launches test","To check the Car details of the newly launched cars","SUCCESS","2021-02-03T13:22:05.335+05:30[Asia/Calcutta]","0.0","27.67"
